quote,author,cat
"Vazgeçmek, başarısızlığın en kesin yoludur.",Napoleon Hill,Motivasyon
"Sabır acıdır ama meyvesi tatlıdır.",Aristoteles,Motivasyon
"Kendine inanmıyorsan kimse sana inanmaz.",Muhammad Ali,Motivasyon
"Bugün yaptığın seçimler yarınki hayatını inşa eder.",Anonim,Motivasyon
"Konfor alanı, güzel bir yer ama orada hiçbir şey büyümez.",Anonim,Motivasyon
"Savaşmadan teslim olan, hiçbir zaman kazanamaz.",Sun Tzu,Güç & Strateji
"Düşmanını tanı, kendini tanı; yüz savaşta asla yenilmezsin.",Sun Tzu,Güç & Strateji
"En büyük zafer, hiç savaşmadan kazanılandır.",Sun Tzu,Güç & Strateji
"Fırsatlar oluşana kadar bekle, sonra harekete geç.",Sun Tzu,Güç & Strateji
"Yönetici sevilmek yerine korkulmayı tercih etmelidir, ama nefret edilmemelidir.",Niccolò Machiavelli,Güç & Strateji
"Amaç aracı meşrulaştırır.",Niccolò Machiavelli,Güç & Strateji
"İnsanları yönetmek isteyen, önce kendini yönetmelidir.",Publilius Syrus,Güç & Strateji
"Güç, kullanılmadığında bile bir etkidir.",Thomas Hobbes,Güç & Strateji
"Zayıf olanın adaleti, güçlü olanın çıkarına hizmet eder.",Thukydides,Güç & Strateji
"Kararsızlık, yenilginin en büyük nedenidir.",George S. Patton,Güç & Strateji
"Savaş, siyasetin başka araçlarla devamıdır.",Carl von Clausewitz,Güç & Strateji
"Bölerek yönet.",Anonim (Latince: Divide et impera),Güç & Strateji
"Sabırlı olan, sonunda kazanır.",Sun Tzu,Güç & Strateji
"Gerçek güç, gösterişte değil kontrol edilebilirlikte saklıdır.",Anonim,Güç & Strateji
"Değişime uyum sağlayamayan, tarihin dışında kalır.",Niccolò Machiavelli,Güç & Strateji
"İnsan davranışının kökeninde bilinçdışı yatar.",Sigmund Freud,Psikoloji
"Kendini tanımak, tüm bilgeliğin başlangıcıdır.",Aristoteles,Psikoloji
"Dışarıya bakan rüya görür, içeriye bakan uyanır.",Carl Jung,Psikoloji
"Direndiğin şey devam eder.",Carl Jung,Psikoloji
"Zihniniz her şeydir; ne düşünürseniz o olursunuz.",Buddha,Psikoloji
"Korku, hayal gücünün karanlık tarafıdır.",Anonim,Psikoloji
"İnsan, kendi düşüncelerinin ürünüdür.",Buddha,Psikoloji
"Alışkanlıklarımız önce bizi şekillendirir, sonra biz onları şekillendiririz.",John Dryden,Psikoloji
"Öfke, başkasına fırlatmadan önce seni yakan bir kordur.",Buddha,Psikoloji
"Değiştiremeyeceğin şeyleri kabullenme gücü, huzurun anahtarıdır.",Reinhold Niebuhr,Psikoloji
"Kendimizi nasıl gördüğümüz, dünyayı nasıl gördüğümüzü belirler.",Carl Jung,Psikoloji
"Zihin, düştüğü yerde değil, geliştiği yerde büyür.",Anonim,Psikoloji
"Mutluluk bir varış noktası değil, bir yolculuk biçimidir.",Anonim,Psikoloji
"Zaman, en adil dağıtılan servettir.",Anonim,Zaman & Hayat
"Zaman parayı satın alabilir ama para zamanı asla satın alamaz.",Anonim,Zaman & Hayat
"Hayat kısadır, onu doğru şeyler için harca.",Seneca,Zaman & Hayat
"Kaybettiğimiz zaman asla geri gelmez.",Seneca,Zaman & Hayat
"Yaşamadığımız değil, iyi yaşamadığımız hayat kısadır.",Seneca,Zaman & Hayat
"An'ı yaşa, çünkü elinde olan sadece bu.",Marcus Aurelius,Zaman & Hayat
"Ölümü düşünmek, özgürlüğü düşünmektir.",Michel de Montaigne,Zaman & Hayat
"Zaman, herkesin eşit sahip olduğu tek hazinedir.",Anonim,Zaman & Hayat
"Bugün, dünün geleceğidir.",Anonim,Zaman & Hayat
"Yarın diye bir şey yok, sadece bugün var.",Anonim,Zaman & Hayat
"İktidar yozlaştırır, mutlak iktidar mutlaka yozlaştırır.",Lord Acton,Gündem
"Adalet gecikirse, adalet inkâr edilmiş olur.",William E. Gladstone,Gündem
"Sessiz kalmak da bir tercihtir.",Anonim,Gündem
"Bilgi güçtür, paylaşılan bilgi daha da güçlüdür.",Anonim,Gündem
"Başkalarının özgürlüğü olmayan yerde, gerçek özgürlük değildir.",Anonim,Gündem
"Halkın, halk tarafından, halk için yönetimi.",Abraham Lincoln,Gündem
"Demokrasi, en kötüsü hariç tüm yönetim biçimlerinden daha iyidir.",Winston Churchill,Gündem
"Özgürlük asla ücretsiz değildir.",Anonim,Gündem
"Zaman paradır, boşa harcama.",Benjamin Franklin,Ekonomi
"Para iyi bir hizmetçi, kötü bir efendidir.",Francis Bacon,Ekonomi
"Tasarruf, gelecek için bugünü vazgeçmektir.",Anonim,Ekonomi
"Küçük harcamalara dikkat et; küçük bir delik büyük gemiyi batırır.",Benjamin Franklin,Ekonomi
"Risk, ne yaptığını bilmemekten gelir.",Warren Buffett,Ekonomi
"Fiyat, ödediğindir; değer, aldığındır.",Warren Buffett,Ekonomi
"Başkaları açgözlü olduğunda korkulu, korkulu olduğunda açgözlü ol.",Warren Buffett,Ekonomi
"Bileşik faiz, dünyanın sekizinci harikasıdır.",Albert Einstein (atfedilen),Ekonomi
"Yatırımın en büyük düşmanı sabırsızlıktır.",Anonim,Ekonomi
"Borç, geleceğin gelirini bugünden harcamaktır.",Anonim,Ekonomi
"Enflasyon, görünmeyen bir vergidir.",Milton Friedman,Ekonomi
"Bütçe olmadan yapılan harcama, dümensiz bir gemidir.",Anonim,Ekonomi
"Tek yumurtayı tek sepete koyma.",Anonim,Ekonomi
"Servet, harcamadığın paradır.",Anonim,Ekonomi
"Ekonomi, kıt kaynakların yönetim bilimidir.",Lionel Robbins,Ekonomi
"Şampiyonlar, kimse izlemezken çalışanlardır.",Anonim,Spor
"Vazgeçmek, denemekten daha kolaydır ama pişmanlık bırakır.",Anonim,Spor
"Acı geçicidir, gurur kalıcıdır.",Lance Armstrong,Spor
"Yıldızlar hiçbir zaman kolay parlamaz.",Anonim,Spor
"Rakibini yenmek istiyorsan önce kendini yen.",Anonim,Spor
"Şampiyon olmak, yorgun olduğunda da devam etmektir.",Muhammad Ali,Spor
"Kazanmak her şey değildir ama kazanmayı istemek her şeydir.",Vince Lombardi,Spor
"Antrenmanda döktüğün ter, maçta kazandığın zaferdir.",Anonim,Spor
"Takım çalışması, olağan insanların olağanüstü sonuçlar elde etmesini sağlar.",Anonim,Spor
"Sınırların olduğunu düşünmek, sınırların içine hapsolmaktır.",Muhammad Ali,Spor
"Doğa acele etmez, ama her şeyi tamamlar.",Laozi,Doğa
"Yeryüzü, atalarımızdan miras değil, çocuklarımızdan ödünç aldığımız bir şeydir.",Anonim,Doğa
"Doğaya yakın olan, hiçbir zaman melankoliden çok uzak değildir.",Henry David Thoreau,Doğa
"Ormanlar, dünyanın akciğerleridir.",Anonim,Doğa
"Doğada hiçbir şey boşuna değildir.",Aristoteles,Doğa
"İnsan doğanın efendisi değil, bir parçasıdır.",Anonim,Doğa
"Bir ağacın gölgesinde oturmak istiyorsan, yıllar önce dikilmiş olmalı.",Warren Buffett,Doğa
"Doğa, en büyük öğretmendir.",Leonardo da Vinci,Doğa
"Yalnızlık, doğaya en yakın olduğumuz andır.",Henry David Thoreau,Doğa
"Toprağa ne ekersen onu biçersin.",Anonim,Doğa
"İnsan, kendi hikâyesinin hem yazarı hem kahramanıdır.",Anonim,İnsan
"Karakterin gerçek sınavı, kimse bakmadığında ne yaptığındır.",Anonim,İnsan
"Empati, başka birinin ayakkabılarında yürümektir.",Anonim,İnsan
"İnsanlar unutulmaz sözler değil, unutulmaz hisler bırakır.",Maya Angelou,İnsan
"Herkes bir savaş veriyor, hakkında hiçbir şey bilmediğin bir savaş.",Platon,İnsan
"İyilik, karşılık beklemeden yapıldığında anlam kazanır.",Anonim,İnsan
"İnsanın değeri, verdiği sözle ölçülür.",Anonim,İnsan
"Sevgi, karşılıksız verildiğinde büyür.",Anonim,İnsan
"Dostluk, iki bedende yaşayan tek bir ruhtur.",Aristoteles,İnsan
"İnsan, başkalarına yaptığı iyilikle büyür.",Anonim,İnsan
"Sanat, ruhun günlük hayatın tozundan arınmasıdır.",Pablo Picasso,Sanat
"Her çocuk bir sanatçıdır; mesele büyüdükten sonra sanatçı kalabilmektir.",Pablo Picasso,Sanat
"Sanat, görüneni değil, görülmeyeni görünür kılar.",Paul Klee,Sanat
"Müzik, sessizliğin arasındaki notalardır.",Claude Debussy,Sanat
"Yaratıcılık, zekânın eğlenmesidir.",Albert Einstein,Sanat
"Sanat olmasaydı, gerçeğin sertliğine katlanamazdık.",Friedrich Nietzsche,Sanat
"Bir resim, bin kelimeye bedeldir.",Anonim,Sanat
"Güzellik, bakanın gözündedir.",Anonim,Sanat
"Sanat, hayatı taklit etmez; hayatı yeniden yaratır.",Oscar Wilde,Sanat
"İyi sanat, cevap vermez, soru sordurur.",Anonim,Sanat
"Teknoloji, iyi bir hizmetçi ama kötü bir efendidir.",Anonim,Teknoloji
"Gelecek zaten burada, sadece eşit dağıtılmamış.",William Gibson,Teknoloji
"En iyi teknoloji, fark edilmeyecek kadar iyi çalışandır.",Anonim,Teknoloji
"Yenilik, liderle takipçiyi ayıran çizgidir.",Steve Jobs,Teknoloji
"Basitlik, karmaşıklığın en üst düzeyidir.",Leonardo da Vinci,Teknoloji
"Yapay zeka, insanlığın son icadı olabilir.",Stephen Hawking,Teknoloji
"Bilgisayarlar hızlı ama insanlar bilge olmalı.",Anonim,Teknoloji
"İcatların anası ihtiyaçtır.",Platon,Teknoloji
"Değişime ayak uyduramayanlar, geride kalır.",Charles Darwin (atfedilen),Teknoloji
"Teknoloji araçtır; asıl güç onu kullanan zihindir.",Anonim,Teknoloji
